predictor,train,test,1,2,3,4,5,6,7,8,9,10
dsv_deadspots,0.06398,0.07892,0.08216,0.0312800000000001,0.09432,0.0385,0.0777399999999999,0.06106,0.05396,0.0399999999999999,0.08574,0.08684
landcover,0.00518000000000007,-0.000120000000000009,-0.000819999999999932,0.00904000000000005,0.01512,-0.00170000000000003,0.00461999999999996,0.01132,0.00614000000000003,0.00117999999999996,0.004,0.000659999999999994
ndvi,0.101,0.08436,0.1205,0.02778,0.12648,0.10388,0.0835199999999999,0.129,0.11354,0.0853999999999999,0.06918,0.0930799999999999
slope,0.0139,0.00735999999999992,0.0325800000000001,-0.01374,0.0115999999999999,0.0230199999999999,-0.00575999999999999,-0.000219999999999998,0.00590000000000002,0.0176999999999999,0.0104000000000001,0.00953999999999999
soil_clay,0.00696000000000008,0.01196,0.00692000000000004,0.01024,0.00256000000000001,0.0121199999999999,0.0168999999999999,0.00428000000000006,0.0108,0.00281999999999993,0.00997999999999999,0.0163
soil_ph,-0.000859999999999972,0.000419999999999976,0.000539999999999985,-0.00417999999999996,0.00131999999999999,0.000979999999999981,-0.00120000000000009,-0.00683999999999996,-0.00291999999999992,0.00307999999999997,0.00280000000000002,-0.00134000000000001
soil_sand,0.00116000000000005,0.000120000000000009,-0.00609999999999999,-0.00119999999999998,0.000460000000000016,0.00481999999999994,-0.00130000000000008,0.000439999999999996,0.00150000000000006,0.00490000000000002,0.00418000000000007,0.001
soil_water,0.00322,0.000759999999999983,-0.00663999999999998,0.01024,0.00509999999999999,0.00573999999999997,0.00429999999999997,-0.01616,0.00406000000000006,0.00117999999999996,0.000939999999999941,0.00495999999999996
wind_speed,0.02588,0.01654,0.01144,0.04306,0.00409999999999999,0.0147999999999999,0.0296799999999999,0.00196000000000007,0.02344,0.0297999999999999,0.02306,-0.00482000000000005
