sp,lon,lat
DSV,-79.427693,43.752661
DSV,-79.382126,43.705693
DSV,-79.507053,43.663812
DSV,-79.322068,43.703693
DSV,-79.346699,43.749854
DSV,-79.188278,43.783293
DSV,-79.450092,43.854778
DSV,-79.465045,43.645538
DSV,-79.154554,43.813895
DSV,-79.484353,43.812847
DSV,-79.455742,43.6399
DSV,-79.152877,43.818635
DSV,-79.579932,43.719806
DSV,-79.338647,43.683445
DSV,-79.407341,43.74479
DSV,-79.462876,43.653324
DSV,-79.349937,43.854145
DSV,-79.169567,43.823077
DSV,-79.365997,43.682755
DSV,-79.36487,43.687483
DSV,-79.366184,43.677411
DSV,-79.29863,43.761863
DSV,-79.393508,43.831925
DSV,-79.476058,43.795955
DSV,-79.170583,43.819697
DSV,-79.364752,43.695571
DSV,-79.486305,43.748172
DSV,-79.573371,43.735398
DSV,-79.326858,43.687842
DSV,-79.54571,43.840202
DSV,-79.483858,43.742086
DSV,-79.328714,43.701147
DSV,-79.466982,43.785948
DSV,-79.510806,43.675605
DSV,-79.188857,43.785401
DSV,-79.315155,43.68905
DSV,-79.327388,43.690221
DSV,-79.367281,43.686963
DSV,-79.332666,43.701655
DSV,-79.508467,43.67833
DSV,-79.134138,43.77593
DSV,-79.18334,43.823327
DSV,-79.339539,43.74488
DSV,-79.624131,43.707703
DSV,-79.635383,43.631247
DSV,-79.630303,43.711297
DSV,-79.632636,43.718553
DSV,-79.632819,43.714611
DSV,-79.611106,43.6475
DSV,-79.458367,43.647945
DSV,-79.36108,43.69349
DSV,-79.323072,43.683422
DSV,-79.467495,43.648406
DSV,-79.460065,43.645051
DSV,-79.319752,43.712741
DSV,-79.171945,43.8186
DSV,-79.377841,43.765702
DSV,-79.349898,43.763044
DSV,-79.30687,43.803463
DSV,-79.613421,43.841394
DSV,-79.325872,43.688404
DSV,-79.420058,43.836533
DSV,-79.151465,43.80705
DSV,-79.177623,43.822079
DSV,-79.608188,43.723459
DSV,-79.365607,43.723961
DSV,-79.271439,43.814286
DSV,-79.478435,43.7791
DSV,-79.463622,43.64134
DSV,-79.170124,43.818471
DSV,-79.467608,43.643752
DSV,-79.324768,43.731765
DSV,-79.329522,43.738978
DSV,-79.4266,43.7697
DSV,-79.29133,43.69815
DSV,-79.33364,43.70378
DSV,-79.38123,43.7698
DSV,-79.28782,43.81907
DSV,-79.30103,43.82202
DSV,-79.27093,43.82863
DSV,-79.28224,43.70277
DSV,-79.24079,43.71021
DSV,-79.19113,43.77023
DSV,-79.44163,43.66081
DSV,-79.23328,43.70742
DSV,-79.42577,43.70235
DSV,-79.43743,43.70422
DSV,-79.25617,43.81223
DSV,-79.27475,43.80881
DSV,-79.3351,43.73144
DSV,-79.27357,43.69357
DSV,-79.36525,43.79619
DSV,-79.36874,43.79531
DSV,-79.36735,43.79558
DSV,-79.41923,43.66983
DSV,-79.35939,43.76751
DSV,-79.35677,43.76532
DSV,-79.35899,43.76572
DSV,-79.34911,43.76129
DSV,-79.36666,43.77088
DSV,-79.35268,43.77368
DSV,-79.41909,43.75345
DSV,-79.36376,43.79467
DSV,-79.44232,43.64893
DSV,-79.4976,43.74717
DSV,-79.15383,43.81228
DSV,-79.15621,43.81357
DSV,-79.32622,43.73023
DSV,-79.36508,43.77794
DSV,-79.36483,43.77309
DSV,-79.29111,43.67632
