"","gbifID","lat","lon"
"1",4987805105,43.732505,-79.37697
"2",4954412460,43.843383,-79.192878
"3",4946299209,43.771708,-79.458162
"4",4946266138,43.763697,-79.443987
"5",4946168561,43.682716,-79.41229
"6",4945989952,43.811859,-79.150351
"7",4945786017,43.776753,-79.369094
"8",4945589229,43.770817,-79.361764
"9",4937098453,43.65627,-79.398164
"10",4936932450,43.732323,-79.359244
"11",4936363803,43.713689,-79.319463
"12",4936164454,43.821608,-79.588905
"13",4936108532,43.735289,-79.357693
"14",4926058784,43.733506,-79.539041
"15",4923685676,43.728238,-79.519244
"16",4921945054,43.729248,-79.211546
"17",4921721790,43.590181,-79.548164
"18",4921469401,43.72859,-79.219709
"19",4919579033,43.723696,-79.371259
"20",4919458037,43.817704,-79.375265
"21",4919384940,43.722801,-79.371401
"22",4919369836,43.827444,-79.368705
"23",4919216262,43.778509,-79.358111
"24",4910924183,43.6786,-79.553453
"25",4910906467,43.642868,-79.45961
"26",4910718048,43.724409,-79.361068
"27",4909162652,43.724491,-79.605293
"28",4908919696,43.692381,-79.399729
"29",4908748459,43.801844,-79.356686
"30",4908669387,43.842158,-79.617967
"31",4908649797,43.716903,-79.224603
"32",4908373361,43.843781,-79.615051
"33",4908238689,43.726532,-79.609436
"34",4908221652,43.727814,-79.60862
"35",4904083448,43.764222,-79.440225
"36",4902005158,43.818764,-79.496582
"37",4901929053,43.831464,-79.171267
"38",4901838196,43.794174,-79.477977
"39",4901740363,43.768269,-79.200358
"40",4901555452,43.779755,-79.130356
"41",4901208420,43.773313,-79.357633
"42",4901105781,43.667556,-79.499412
"43",4901060800,43.783376,-79.147498
"44",4900959665,43.676971,-79.326653
"45",4892216956,43.793096,-79.187172
"46",4892208987,43.687433,-79.386848
"47",4892094008,43.779342,-79.162662
"48",4892085310,43.824353,-79.168981
"49",4892024318,43.687388,-79.313737
"50",4891982170,43.683112,-79.293436
"51",4891978252,43.674343,-79.358231
"52",4891854665,43.70107,-79.359736
"53",4891839639,43.650004,-79.617308
"54",4891834446,43.699891,-79.334951
"55",4891808053,43.816772,-79.166901
"56",4891745276,43.815113,-79.164719
"57",4891738087,43.636921,-79.478958
"58",4891713578,43.683454,-79.292734
"59",4891650434,43.634964,-79.48243
"60",4875591914,43.700704,-79.43711
"61",4875366849,43.788926,-79.375596
"62",4875337056,43.664087,-79.457525
"63",4875317873,43.775133,-79.223851
"64",4875192965,43.686212,-79.358745
"65",4875004762,43.685875,-79.386321
"66",4872614700,43.790129,-79.592817
"67",4872537846,43.77524,-79.357356
"68",4872519156,43.847389,-79.609362
"69",4872425872,43.802681,-79.37388
"70",4872340246,43.847687,-79.609594
"71",4872265864,43.773314,-79.357666
"72",4872200383,43.802444,-79.374856
"73",4872169914,43.838839,-79.596756
"74",4872159269,43.776673,-79.369059
"75",4872136493,43.797124,-79.381426
"76",4872111794,43.801321,-79.377155
"77",4872106194,43.801038,-79.377505
"78",4872094985,43.777733,-79.369741
"79",4872055759,43.79022,-79.375942
"80",4863830555,43.757479,-79.203592
"81",4855416751,43.638445,-79.322868
"82",4535726219,43.719581,-79.355743
"83",4535641901,43.779339,-79.182779
"84",4507918081,43.774518,-79.454257
"85",4442657620,43.710482,-79.246058
"86",4442578728,43.685464,-79.366163
"87",4442392192,43.706293,-79.2814
"88",4431268727,43.704733,-79.456631
"89",4430514755,43.767302,-79.278972
"90",4424609460,43.682126,-79.383515
"91",4424592510,43.819664,-79.461998
"92",4424317813,43.686111,-79.385356
"93",4424211960,43.689053,-79.367347
"94",4413941443,43.817979,-79.45519
"95",4413608194,43.836906,-79.303565
"96",4413412269,43.79898,-79.380745
"97",4405335609,43.774472,-79.371437
"98",4405114923,43.730101,-79.326357
"99",4405088779,43.698162,-79.303392
"100",4400318010,43.775315,-79.519574
"101",4400178146,43.686471,-79.368726
"102",4400111191,43.686347,-79.368654
"103",4399972422,43.686346,-79.368571
"104",4177397333,43.776028,-79.517845
"105",4172322709,43.678557,-79.553515
"106",4172205424,43.700687,-79.313103
"107",4172141403,43.666086,-79.342067
"108",4172112533,43.628621,-79.475169
"109",4172048783,43.632501,-79.470735
"110",4171733768,43.817986,-79.455055
"111",4171724769,43.6474,-79.615044
"112",4171681059,43.778349,-79.334532
"113",4171303659,43.648267,-79.324091
"114",4171272209,43.650361,-79.462239
"115",4171245119,43.648606,-79.467653
"116",4171224803,43.644188,-79.4675
"117",4171156577,43.645613,-79.469063
"118",4171155672,43.63721,-79.476467
"119",4171147960,43.650712,-79.49285
"120",4162174129,43.662527,-79.451838
"121",4162061695,43.647837,-79.465822
"122",4153893342,43.727626,-79.214989
"123",4145389792,43.645347,-79.463203
"124",4138722927,43.825953,-79.138257
"125",4138632394,43.822235,-79.590615
"126",4138173081,43.712463,-79.227089
"127",4138094516,43.659456,-79.306533
"128",4137750981,43.798409,-79.478613
"129",4137748352,43.717267,-79.224631
"130",4137636275,43.647699,-79.522622
"131",4127198912,43.696067,-79.256042
"132",4127063628,43.697426,-79.299876
"133",4112101377,43.759497,-79.157355
"134",4062876599,43.649325,-79.622008
"135",3986246965,43.742591,-79.516667
"136",3947811794,43.827251,-79.26744
"137",3947310471,43.647689,-79.459602
"138",3947078682,43.8275,-79.308753
"139",3923358971,43.827414,-79.267351
"140",3915688302,43.771453,-79.363072
"141",3915351794,43.771393,-79.362924
"142",3912477639,43.830507,-79.267655
"143",3912475444,43.828728,-79.266892
"144",3912467460,43.827167,-79.267385
"145",3912392241,43.827081,-79.267332
"146",3912384520,43.83049,-79.26761
"147",3912355058,43.827145,-79.267459
"148",3912352291,43.826925,-79.266824
"149",3912299811,43.778946,-79.380176
"150",3912279875,43.827028,-79.266698
"151",3912158937,43.827239,-79.267657
"152",3912004296,43.826925,-79.266779
"153",3903566204,43.681578,-79.390731
"154",3903484173,43.784263,-79.187745
"155",3902815218,43.6744,-79.512512
"156",3902663029,43.772103,-79.601142
"157",3902132261,43.616527,-79.373058
"158",3892302347,43.723767,-79.363983
"159",3889040839,43.634972,-79.482399
"160",3881701495,43.725476,-79.609545
"161",3881694149,43.678636,-79.551764
"162",3873843614,43.817455,-79.309813
"163",3860733981,43.82704,-79.272983
"164",3860460686,43.821274,-79.167645
"165",3860097225,43.687283,-79.36544
"166",3860019408,43.720895,-79.293468
"167",3859814309,43.66163,-79.484537
"168",3859312807,43.811603,-79.173325
"169",3802725220,43.829844,-79.267116
"170",3802634925,43.830275,-79.267077
"171",3802305606,43.692335,-79.399819
"172",3784735700,43.766323,-79.461799
"173",3773177838,43.642877,-79.459813
"174",3760151923,43.769314,-79.359461
"175",3759405939,43.768879,-79.359738
"176",3499460482,43.818319,-79.309922
"177",3465923134,43.817615,-79.169131
"178",3455186450,43.821289,-79.16847
"179",3384825226,43.813644,-79.140106
"180",3384471331,43.832675,-79.16005
"181",3384243105,43.647908,-79.464241
"182",3344104573,43.772077,-79.137418
"183",3338053813,43.826305,-79.312753
"184",3337774708,43.813228,-79.14226
"185",3337768095,43.815451,-79.342784
"186",3337712794,43.808815,-79.369606
"187",3337496668,43.793925,-79.478337
"188",3335453052,43.742456,-79.317893
"189",3335394580,43.800792,-79.379045
"190",3335394228,43.674908,-79.295029
"191",3335161928,43.6992,-79.307498
"192",3335159164,43.67867,-79.370932
"193",3335126044,43.74136,-79.320764
"194",3333550510,43.816966,-79.584877
"195",3333125964,43.778127,-79.371989
"196",3333085881,43.749553,-79.274217
"197",3330884602,43.685238,-79.300445
"198",3330638141,43.791434,-79.146539
"199",3327995894,43.700062,-79.353067
"200",3327966924,43.700133,-79.352255
"201",3327946544,43.675552,-79.510619
"202",3327843622,43.666386,-79.513331
"203",3327775767,43.834565,-79.394571
"204",3327768240,43.81229,-79.150764
"205",3327736895,43.694653,-79.360917
"206",3327720897,43.694513,-79.362358
"207",3327709903,43.700038,-79.352797
"208",3327704929,43.697772,-79.356362
"209",3321313471,43.830567,-79.411645
"210",3314471885,43.851742,-79.33057
"211",3314156906,43.747592,-79.47335
"212",3307205692,43.644213,-79.320983
"213",3302305853,43.673882,-79.294518
"214",3302195689,43.811708,-79.159424
"215",3302058387,43.699507,-79.312993
"216",3302033755,43.801413,-79.377935
"217",3301870722,43.786793,-79.138275
"218",3301842194,43.713208,-79.40542
"219",3124895976,43.678986,-79.293106
"220",3124879218,43.701163,-79.391785
"221",3124691992,43.829883,-79.388497
"222",3124691130,43.78548,-79.457612
"223",3124644483,43.716865,-79.503499
"224",3124539726,43.814952,-79.158069
"225",3124537975,43.846293,-79.192884
"226",3118206656,43.737828,-79.21021
"227",3117848873,43.801075,-79.378548
"228",3112803283,43.828554,-79.300005
"229",3090855860,43.708753,-79.240075
"230",3090854714,43.836778,-79.305855
"231",3090827731,43.83662,-79.305847
"232",3090809694,43.828512,-79.311212
"233",3090796526,43.811858,-79.305983
"234",3090774676,43.823722,-79.307922
"235",3090747788,43.767363,-79.379792
"236",3090739432,43.826213,-79.312713
"237",3090717711,43.826233,-79.312758
"238",3090633726,43.836578,-79.305825
"239",3090629739,43.769803,-79.38118
"240",3090611770,43.826462,-79.312837
"241",3090605742,43.82617,-79.312653
"242",3090603862,43.704228,-79.24083
"243",3090585427,43.853742,-79.203163
"244",3090584879,43.827575,-79.308662
"245",3090566593,43.851853,-79.210167
"246",3090537850,43.708522,-79.240913
"247",3090523813,43.83668,-79.305008
"248",3068102496,43.854122,-79.20912
"249",3032065419,43.610308,-79.568358
"250",3031958508,43.812388,-79.150864
"251",3031847717,43.831408,-79.41607
"252",3031832746,43.791217,-79.349442
"253",3031815761,43.83427,-79.397737
"254",3031811722,43.831487,-79.416138
"255",3018053679,43.635366,-79.464961
"256",3008568401,43.674566,-79.314928
"257",3008503445,43.784012,-79.217493
"258",3008415393,43.794012,-79.478142
"259",3008393338,43.720481,-79.486471
"260",3005087447,43.725537,-79.609992
"261",2999166172,43.646997,-79.465585
"262",2988610532,43.691739,-79.397401
"263",2988574632,43.629112,-79.47505
"264",2988497379,43.648925,-79.622064
"265",2988468612,43.633725,-79.468601
"266",2988364338,43.701511,-79.327657
"267",2984526649,43.697187,-79.362542
"268",2984396668,43.642642,-79.4657
"269",2898326748,43.659079,-79.452468
"270",2868385968,43.707703,-79.322563
"271",2868175874,43.643423,-79.321302
"272",2864778675,43.786377,-79.125362
"273",2860227543,43.660595,-79.355422
"274",2860124844,43.792305,-79.376397
"275",2859985953,43.753404,-79.330708
"276",2859946639,43.70779,-79.36748
"277",2856712522,43.645853,-79.468039
"278",2856538613,43.825417,-79.21537
"279",2856492854,43.642466,-79.463405
"280",2851257673,43.64518,-79.458476
"281",2850972137,43.69505,-79.356541
"282",2850865150,43.732887,-79.21478
"283",2850776377,43.723609,-79.22768
"284",2826308835,43.76979,-79.140481
"285",2823374746,43.814671,-79.148162
"286",2818868362,43.800211,-79.130543
"287",2818849324,43.775397,-79.46302
"288",2818759340,43.755591,-79.275908
"289",2818758340,43.580761,-79.579491
"290",2818737343,43.731004,-79.620674
"291",2818701347,43.752661,-79.427693
"292",2818655358,43.705693,-79.382126
"293",2818588361,43.701258,-79.391766
"294",2818572348,43.735266,-79.297843
"295",2818554345,43.663812,-79.507053
"296",2818547345,43.703693,-79.322068
"297",2818530361,43.749854,-79.346699
"298",2818509362,43.783293,-79.188278
"299",2814251914,43.744316,-79.408194
"300",2814182573,43.854778,-79.450092
"301",2814113572,43.645538,-79.465045
"302",2814099174,43.813895,-79.154554
"303",2814091823,43.812847,-79.484353
"304",2814046790,43.6399,-79.455742
"305",2813994948,43.818635,-79.152877
"306",2813924595,43.719806,-79.579932
"307",2803138309,43.683445,-79.338647
"308",2803110403,43.74479,-79.407341
"309",2803071784,43.653324,-79.462876
"310",2802940010,43.854145,-79.349937
"311",2802920294,43.823077,-79.169567
"312",2802876552,43.682755,-79.365997
"313",2802753339,43.687483,-79.36487
"314",2802718203,43.677411,-79.366184
"315",2802709696,43.761863,-79.29863
"316",2802660349,43.831925,-79.393508
"317",2802657082,43.795955,-79.476058
"318",2802536899,43.79395,-79.478088
"319",2641416273,43.819697,-79.170583
"320",2634286435,43.695571,-79.364752
"321",2634111945,43.748172,-79.486305
"322",2634095126,43.735398,-79.573371
"323",2597713743,43.687842,-79.326858
"324",2596244942,43.840202,-79.54571
"325",2595992005,43.742086,-79.483858
"326",2574274012,43.701147,-79.328714
"327",2574129565,43.785948,-79.466982
"328",2543092193,43.675605,-79.510806
"329",2529387146,43.785401,-79.188857
"330",2518149884,43.68905,-79.315155
"331",2518041293,43.690221,-79.327388
"332",2465118784,43.686963,-79.367281
"333",2465118599,43.823557,-79.183284
"334",2445044345,43.701655,-79.332666
"335",2429591673,43.67833,-79.508467
"336",2429423146,43.77593,-79.134138
"337",2429415052,43.823327,-79.18334
"338",2423069700,43.74488,-79.339539
"339",2422876033,43.707703,-79.624131
"340",2422875956,43.7112,-79.63095
"341",2422875351,43.630836,-79.634675
"342",2422875284,43.631236,-79.635331
"343",2422875282,43.631247,-79.635383
"344",2350449576,43.711297,-79.630303
"345",2350449417,43.718553,-79.632636
"346",2350449282,43.707844,-79.624497
"347",2350448153,43.714611,-79.632819
"348",2350431571,43.6475,-79.611106
"349",2350421100,43.647945,-79.458367
"350",2350413856,43.738381,-79.329116
"351",2331956573,43.69349,-79.36108
"352",2294667060,43.683422,-79.323072
"353",2294652950,43.648406,-79.467495
"354",2294647916,43.645051,-79.460065
"355",2294545832,43.712741,-79.319752
"356",2273232304,43.8186,-79.171945
"357",2269323492,43.765702,-79.377841
"358",2269296714,43.763044,-79.349898
"359",2269262667,43.803463,-79.30687
"360",2269243019,43.629354,-79.327163
"361",2265830390,43.841394,-79.613421
"362",2251998433,43.688404,-79.325872
"363",1948774699,43.836533,-79.420058
"364",1913155151,43.80705,-79.151465
"365",1883927468,43.822079,-79.177623
"366",1883472676,43.723459,-79.608188
"367",1880637054,43.723961,-79.365607
"368",1850919301,43.814286,-79.271439
"369",1848762985,43.7791,-79.478435
"370",1806337460,43.64134,-79.463622
"371",1572374218,43.81918,-79.171227
"372",1571180745,43.818471,-79.170124
"373",1291156609,43.643752,-79.467608
"374",1227716954,43.731765,-79.324768
"375",1098909250,43.738978,-79.329522
