"","name","longitude","latitude","mean_annual_rf","sd_annual_rf","sample_size"
"1","RG_001",-79.4781121,43.6476803,441.7687996185,112.116845014994,10
"2","RG_002",-79.4332161,43.6512,334.035249826667,172.031477867675,12
"3","RG_003",-79.4050941,43.6566155,439.2284995606,127.526380361106,10
"4","RG_004",-79.4028332,43.678343,432.76579963,102.607541161428,10
"5","RG_006",-79.375101,43.6612653,482.5375999076,85.216603159133,10
"6","RG_007",-79.33114479,43.67672013,363.0918000334,145.378342819829,10
"7","RG_012",-79.58163682,43.7392166,401.6443996401,106.401033611319,10
"8","RG_013",-79.5719377,43.69491707,400.8174000349,106.730096400264,10
"9","RG_014",-79.54147435,43.68343046,431.1198989422,104.960054122026,10
"10","RG_015",-79.52827501,43.63806492,416.3657001271,95.6364288992558,10
"11","RG_016",-79.52036622,43.6081253,423.1155010332,124.190090449102,10
"12","RG_017",-79.4660280206677,43.6973503498912,499.924776393,184.729890509394,9
"13","RG_018",-79.3432839059,43.7031334752,434.6778000501,72.6923601771799,10
"14","RG_019",-79.5188375746,43.7652268939,427.7815000416,151.249575911815,10
"15","RG_020",-79.47160572,43.76984809,396.607222243889,80.514247124743,9
"16","RG_021",-79.54886015,43.75465603,394.6731997348,86.3684047741191,10
"17","RG_022",-79.36517569,43.76906559,446.2283001456,84.607388295408,10
"18","RG_023",-79.31384791,43.7239323,371.961999833,126.443680242477,11
"19","RG_024",-79.51380861,43.72039422,453.426200004,103.193831707373,10
"20","RG_025",-79.46571593,43.73250641,495.0210000639,104.005000061805,10
"21","RG_027",-79.40840918,43.77443991,454.6454999278,76.0572562308856,10
"22","RG_028",-79.37135707,43.80009358,443.9793996813,81.485725325913,10
"23","RG_030",-79.3261282,43.7595662,439.490999906778,78.4306995518113,9
"24","RG_031",-79.30554427,43.81233291,443.655000027,79.4444566558712,10
"25","RG_033",-79.25725151,43.81844633,483.1390000828,107.926572479297,10
"26","RG_034",-79.27244556,43.76973811,408.380399825,51.1006059966004,10
"27","RG_035",-79.19432584,43.79378081,428.9644000659,67.7944187781981,10
"28","RG_036",-79.3201323,43.65866723,425.3506000377,70.992622536739,10
"29","RG_037",-79.35836438,43.7340786,376.737363483091,129.287976196989,11
"30","RG_038",-79.14840514,43.77751424,412.3903000261,93.8363352248516,10
"31","RG_039",-79.4047349,43.7061244,447.0763998534,106.631070034858,10
"32","RG_040",-79.28445514,43.69489657,443.2520000366,40.0117778107817,10
"33","RG_041",-79.1772287,43.7690071,461.25264973574,59.3483514195458,10
"34","RG_042",-79.2614587,43.7329702,395.413362745182,131.553857706682,11
"35","RG_044",-79.40692306,43.74840611,461.2440000313,88.1437908894453,10
"36","RG_045",-79.448202,43.6914494,456.06159992,105.740780446534,10
"37","RG_046",-79.57057758,43.71777139,507.3412001303,260.043733934036,10
"38","RG_047",-79.4563102,43.7087093,413.8513999282,166.227124954022,10
"39","RG_048",-79.5647009,43.6428503,433.1170997417,160.178257675229,10
"40","RG_049",-79.49112331,43.66414511,455.9071000516,120.168667339819,10
"41","RG_051",-79.4222852,43.7905864,437.5872994389,78.8909662706471,10
"42","RG_052",-79.58503373,43.6503898,444.2409000532,107.717885977804,10
"43","RG_054",-79.51260905,43.70058814,444.117888720889,103.437716067427,9
"44","RG_055",-79.44334,43.728869,356.317888935444,201.873374453853,9
"45","RG_056",-79.51458047,43.74597194,426.558888704444,110.448428494012,9
"46","RG_057",-79.397205,43.635895,558.283666758833,317.894510100827,6
"47","RG_058",-79.337137,43.787118,433.2385001275,82.5552189970859,6
"48","RG_059",-79.298806,43.673915,432.522500086167,59.3712598458785,6
"49","RG_060",-79.216236,43.808401,489.088500090333,165.578029330985,6
"50","RG_061",-79.216829,43.740104,394.580857225714,165.064046773951,7
