"","Assemblage","n","S.obs","SC","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10"
"178","870",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"179","884",6,6,0.0741,6,0,0,0,0,0,0,0,0,0
"180","910",7,5,0.6494,3,2,0,0,0,0,0,0,0,0
"181","915",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"182","929",1,1,1,1,0,0,0,0,0,0,0,0,0
"183","931",1,1,1,1,0,0,0,0,0,0,0,0,0
"184","934",1,1,1,1,0,0,0,0,0,0,0,0,0
"185","946",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"186","952",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"187","953",1,1,1,1,0,0,0,0,0,0,0,0,0
"188","954",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"189","956",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"190","962",4,4,0.1818,4,0,0,0,0,0,0,0,0,0
"191","966",74,23,0.9069,7,4,7,1,2,1,0,0,0,0
"192","975",7,5,0.6494,3,2,0,0,0,0,0,0,0,0
"193","976",1,1,1,1,0,0,0,0,0,0,0,0,0
"194","978",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"195","981",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"196","989",3,1,1,0,0,1,0,0,0,0,0,0,0
"197","1006",1,1,1,1,0,0,0,0,0,0,0,0,0
"198","1019",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"199","1039",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"200","1043",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"201","1045",1,1,1,1,0,0,0,0,0,0,0,0,0
"202","1048",4,3,0.625,2,1,0,0,0,0,0,0,0,0
"203","1062",5,4,0.4857,3,1,0,0,0,0,0,0,0,0
"204","1063",7,4,0.7551,2,1,1,0,0,0,0,0,0,0
"205","1064",5,3,0.7333,2,0,1,0,0,0,0,0,0,0
"206","1065",1,1,1,1,0,0,0,0,0,0,0,0,0
"207","1067",1,1,1,1,0,0,0,0,0,0,0,0,0
"208","1075",1,1,1,1,0,0,0,0,0,0,0,0,0
"209","1076",13,10,0.3972,8,1,1,0,0,0,0,0,0,0
"210","1082",8,3,1,0,1,2,0,0,0,0,0,0,0
"211","1084",99,25,0.9099,9,4,4,2,2,0,1,0,0,0
"212","1088",1,1,1,1,0,0,0,0,0,0,0,0,0
"213","1101",1,1,1,1,0,0,0,0,0,0,0,0,0
"214","1108",4,2,1,0,2,0,0,0,0,0,0,0,0
"215","1114",28,18,0.6984,9,8,1,0,0,0,0,0,0,0
"216","1115",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"217","1116",9,6,0.5817,4,1,1,0,0,0,0,0,0,0
"218","1117",2,1,1,0,1,0,0,0,0,0,0,0,0
"219","1118",3,2,0.8333,1,1,0,0,0,0,0,0,0,0
"220","1119",4,3,0.625,2,1,0,0,0,0,0,0,0,0
"221","1121",2,1,1,0,1,0,0,0,0,0,0,0,0
"222","1122",1,1,1,1,0,0,0,0,0,0,0,0,0
"223","1123",3,2,0.8333,1,1,0,0,0,0,0,0,0,0
"224","1124",4,3,0.625,2,1,0,0,0,0,0,0,0,0
"225","1135",1,1,1,1,0,0,0,0,0,0,0,0,0
"226","1137",1,1,1,1,0,0,0,0,0,0,0,0,0
"227","1145",8,8,0.0392,8,0,0,0,0,0,0,0,0,0
"228","1146",2,1,1,0,1,0,0,0,0,0,0,0,0
"229","1147",3,2,0.8333,1,1,0,0,0,0,0,0,0,0
"230","1152",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"231","1153",146,32,0.932,10,5,2,2,1,4,1,2,1,0
"232","1154",1,1,1,1,0,0,0,0,0,0,0,0,0
"233","1161",4,4,0.1818,4,0,0,0,0,0,0,0,0,0
"234","1164",10,6,0.7387,3,2,1,0,0,0,0,0,0,0
"235","1168",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"236","1171",46,21,0.8109,9,7,1,2,1,0,1,0,0,0
"237","1175",1,1,1,1,0,0,0,0,0,0,0,0,0
"238","1184",36,23,0.6818,12,10,0,1,0,0,0,0,0,0
"239","1189",1,1,1,1,0,0,0,0,0,0,0,0,0
"240","1197",115,25,0.9487,6,6,3,2,1,2,2,0,0,0
"241","1198",33,17,0.6741,11,4,0,0,0,1,0,1,0,0
"242","1199",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"243","1201",8,6,0.5625,4,2,0,0,0,0,0,0,0,0
"244","1202",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"245","1203",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"246","1210",8,8,0.0392,8,0,0,0,0,0,0,0,0,0
"247","1211",7,6,0.3304,5,1,0,0,0,0,0,0,0,0
"248","1220",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"249","1221",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"250","1222",1,1,1,1,0,0,0,0,0,0,0,0,0
"251","1224",4,4,0.1818,4,0,0,0,0,0,0,0,0,0
"252","1229",1,1,1,1,0,0,0,0,0,0,0,0,0
"253","1237",1,1,1,1,0,0,0,0,0,0,0,0,0
"254","1248",9,6,0.7333,3,3,0,0,0,0,0,0,0,0
"255","1250",342,37,0.9825,6,2,3,4,0,4,1,0,2,2
"256","1252",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"257","1256",42,22,0.7177,12,3,5,1,1,0,0,0,0,0
"258","1258",4,4,0.1818,4,0,0,0,0,0,0,0,0,0
"259","1261",156,30,0.949,8,4,2,3,4,1,3,0,1,0
"260","1263",7,5,0.6494,3,2,0,0,0,0,0,0,0,0
"261","1264",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"262","1265",1,1,1,1,0,0,0,0,0,0,0,0,0
"263","1270",1,1,1,1,0,0,0,0,0,0,0,0,0
"264","1273",1,1,1,1,0,0,0,0,0,0,0,0,0
"265","1286",4,4,0.1818,4,0,0,0,0,0,0,0,0,0
"266","1293",205,40,0.971,6,5,5,7,5,1,3,2,1,0
"267","1302",1,1,1,1,0,0,0,0,0,0,0,0,0
"268","1303",24,12,0.6703,8,1,1,1,0,0,1,0,0,0
"269","1309",7,6,0.3304,5,1,0,0,0,0,0,0,0,0
"270","1316",13,13,0.0137,13,0,0,0,0,0,0,0,0,0
"271","1318",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"272","1322",1,1,1,1,0,0,0,0,0,0,0,0,0
"273","1329",1,1,1,1,0,0,0,0,0,0,0,0,0
"274","1335",1,1,1,1,0,0,0,0,0,0,0,0,0
"275","1337",5,4,0.4857,3,1,0,0,0,0,0,0,0,0
"276","1338",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"277","1342",1,1,1,1,0,0,0,0,0,0,0,0,0
"278","1349",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"279","1357",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"280","1361",1,1,1,1,0,0,0,0,0,0,0,0,0
"281","1371",9,7,0.4949,5,2,0,0,0,0,0,0,0,0
"282","1372",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"283","1377",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"284","1378",5,4,0.4857,3,1,0,0,0,0,0,0,0,0
"285","1380",64,15,0.8911,7,1,2,0,0,1,1,0,0,0
"286","1381",8,8,0.0392,8,0,0,0,0,0,0,0,0,0
"287","1382",3,2,0.8333,1,1,0,0,0,0,0,0,0,0
"288","1383",1,1,1,1,0,0,0,0,0,0,0,0,0
"289","1385",8,7,0.2841,6,1,0,0,0,0,0,0,0,0
"290","1386",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
