"","Assemblage","n","S.obs","SC","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10"
"384","1940",1,1,1,1,0,0,0,0,0,0,0,0,0
"385","1941",4,2,1,1,0,1,0,0,0,0,0,0,0
"386","1944",1,1,1,1,0,0,0,0,0,0,0,0,0
"387","1948",4,4,0.1818,4,0,0,0,0,0,0,0,0,0
"388","1950",36,17,0.7547,9,3,2,1,1,1,0,0,0,0
"389","1968",6,3,0.7619,2,0,0,1,0,0,0,0,0,0
"390","1977",41,17,0.8352,7,5,1,2,0,1,1,0,0,0
"391","1979",116,36,0.8982,12,11,2,2,1,2,3,1,0,0
"392","1980",14,7,0.7249,4,1,1,0,1,0,0,0,0,0
"393","1981",4,3,0.625,2,1,0,0,0,0,0,0,0,0
"394","1983",10,7,0.5213,5,1,1,0,0,0,0,0,0,0
"395","1984",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"396","1990",1,1,1,1,0,0,0,0,0,0,0,0,0
"397","1991",1,1,1,1,0,0,0,0,0,0,0,0,0
"398","1992",1,1,1,1,0,0,0,0,0,0,0,0,0
"399","1999",1,1,1,1,0,0,0,0,0,0,0,0,0
"400","2005",1,1,1,1,0,0,0,0,0,0,0,0,0
"401","2010",8,7,0.2841,6,1,0,0,0,0,0,0,0,0
"402","2019",40,20,0.7038,12,3,2,1,1,0,1,0,0,0
"403","2020",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"404","2023",1,1,1,1,0,0,0,0,0,0,0,0,0
"405","2025",1,1,1,1,0,0,0,0,0,0,0,0,0
"406","2031",82,24,0.8792,10,4,1,2,1,1,1,1,3,0
"407","2039",9,8,0.249,7,1,0,0,0,0,0,0,0,0
"408","2043",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"409","2045",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"410","2048",1,1,1,1,0,0,0,0,0,0,0,0,0
"411","2049",4,3,0.625,2,1,0,0,0,0,0,0,0,0
"412","2055",1,1,1,1,0,0,0,0,0,0,0,0,0
"413","2056",1,1,1,1,0,0,0,0,0,0,0,0,0
"414","2060",1,1,1,1,0,0,0,0,0,0,0,0,0
"415","2061",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"416","2067",1,1,1,1,0,0,0,0,0,0,0,0,0
"417","2073",1,1,1,1,0,0,0,0,0,0,0,0,0
"418","2076",5,5,0.1111,5,0,0,0,0,0,0,0,0,0
"419","2080",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"420","2082",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"421","2090",16,4,1,0,1,1,1,0,0,1,0,0,0
"422","2094",12,7,0.6944,4,2,0,1,0,0,0,0,0,0
"423","2095",1,1,1,1,0,0,0,0,0,0,0,0,0
"424","2100",18,8,0.8455,3,2,1,2,0,0,0,0,0,0
"425","2101",9,9,0.0303,9,0,0,0,0,0,0,0,0,0
"426","2106",5,4,0.4857,3,1,0,0,0,0,0,0,0,0
"427","2113",4,4,0.1818,4,0,0,0,0,0,0,0,0,0
"428","2115",1,1,1,1,0,0,0,0,0,0,0,0,0
"429","2117",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"430","2120",54,19,0.8731,7,4,3,1,1,2,0,0,1,0
"431","2121",10,6,0.6211,4,1,0,1,0,0,0,0,0,0
"432","2122",1,1,1,1,0,0,0,0,0,0,0,0,0
"433","2128",1,1,1,1,0,0,0,0,0,0,0,0,0
"434","2132",41,22,0.7156,12,7,1,0,1,0,1,0,0,0
"435","2134",6,5,0.3939,4,1,0,0,0,0,0,0,0,0
"436","2139",1,1,1,1,0,0,0,0,0,0,0,0,0
"437","2140",2,1,1,0,1,0,0,0,0,0,0,0,0
"438","2141",1,1,1,1,0,0,0,0,0,0,0,0,0
"439","2143",1,1,1,1,0,0,0,0,0,0,0,0,0
"440","2146",1,1,1,1,0,0,0,0,0,0,0,0,0
"441","2151",1,1,1,1,0,0,0,0,0,0,0,0,0
"442","2154",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"443","2158",49,22,0.7372,13,3,1,2,1,1,0,1,0,0
"444","2166",9,6,0.5817,4,1,1,0,0,0,0,0,0,0
"445","2172",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"446","2174",4,3,0.625,2,1,0,0,0,0,0,0,0,0
"447","2175",9,8,0.249,7,1,0,0,0,0,0,0,0,0
"448","2178",1,1,1,1,0,0,0,0,0,0,0,0,0
"449","2180",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"450","2182",7,1,1,0,0,0,0,0,0,1,0,0,0
"451","2183",7,6,0.3304,5,1,0,0,0,0,0,0,0,0
"452","2186",5,3,0.7333,2,0,1,0,0,0,0,0,0,0
"453","2188",1,1,1,1,0,0,0,0,0,0,0,0,0
"454","2190",1,1,1,1,0,0,0,0,0,0,0,0,0
"455","2193",127,30,0.9456,7,6,1,5,2,4,2,0,1,0
"456","2194",8,6,0.5625,4,2,0,0,0,0,0,0,0,0
"457","2195",54,21,0.8354,9,3,5,1,1,0,1,1,0,0
"458","2206",3,2,0.8333,1,1,0,0,0,0,0,0,0,0
"459","2207",59,15,0.9339,4,3,2,2,0,1,1,0,0,0
"460","2209",22,11,0.7436,6,4,0,0,0,0,0,1,0,0
"461","2217",52,25,0.8135,10,8,4,1,2,0,0,0,0,0
"462","2219",10,8,0.4414,6,2,0,0,0,0,0,0,0,0
"463","2222",1,1,1,1,0,0,0,0,0,0,0,0,0
"464","2224",25,14,0.6497,9,3,0,1,0,1,0,0,0,0
"465","2225",1,1,1,1,0,0,0,0,0,0,0,0,0
"466","2228",3,2,0.8333,1,1,0,0,0,0,0,0,0,0
"467","2232",172,33,0.9538,8,5,3,4,3,1,0,2,1,1
"468","2233",1,1,1,1,0,0,0,0,0,0,0,0,0
"469","2234",4,3,0.625,2,1,0,0,0,0,0,0,0,0
"470","2236",1,1,1,1,0,0,0,0,0,0,0,0,0
"471","2240",19,9,0.8057,4,3,1,0,0,1,0,0,0,0
"472","2244",1,1,1,1,0,0,0,0,0,0,0,0,0
"473","2248",1,1,1,1,0,0,0,0,0,0,0,0,0
"474","2249",14,12,0.307,10,2,0,0,0,0,0,0,0,0
"475","2253",1,1,1,1,0,0,0,0,0,0,0,0,0
"476","2256",1,1,1,1,0,0,0,0,0,0,0,0,0
"477","2264",3,1,1,0,0,1,0,0,0,0,0,0,0
"478","2272",12,8,0.5175,6,0,2,0,0,0,0,0,0,0
"479","2274",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"480","2275",8,4,0.9205,1,2,1,0,0,0,0,0,0,0
"481","2279",1,1,1,1,0,0,0,0,0,0,0,0,0
"482","2285",36,13,0.7809,8,2,0,1,0,0,0,0,0,2
"483","2288",7,7,0.0526,7,0,0,0,0,0,0,0,0,0
"484","2296",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"485","2307",1,1,1,1,0,0,0,0,0,0,0,0,0
"486","2311",1,1,1,1,0,0,0,0,0,0,0,0,0
"487","2313",1,1,1,1,0,0,0,0,0,0,0,0,0
"488","2319",1,1,1,1,0,0,0,0,0,0,0,0,0
"489","2324",1,1,1,1,0,0,0,0,0,0,0,0,0
"490","2327",57,22,0.8095,11,4,2,1,0,2,0,2,0,0
"491","2332",5,5,0.1111,5,0,0,0,0,0,0,0,0,0
"492","2334",1,1,1,1,0,0,0,0,0,0,0,0,0
"493","2337",60,25,0.7856,13,4,3,1,0,2,2,0,0,0
"494","2345",18,10,0.6852,6,3,0,0,0,1,0,0,0,0
"495","2346",130,36,0.8698,17,5,2,2,2,1,2,2,0,1
"496","2357",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"497","2362",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"498","2363",15,11,0.4851,8,2,1,0,0,0,0,0,0,0
"499","2364",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"500","2366",20,16,0.4203,12,4,0,0,0,0,0,0,0,0
"501","2372",1,1,1,1,0,0,0,0,0,0,0,0,0
"502","2378",1,1,1,1,0,0,0,0,0,0,0,0,0
"503","2380",1,1,1,1,0,0,0,0,0,0,0,0,0
"504","2393",1,1,1,1,0,0,0,0,0,0,0,0,0
"505","2409",12,10,0.3623,8,2,0,0,0,0,0,0,0,0
"506","2413",1,1,1,1,0,0,0,0,0,0,0,0,0
"507","2421",2,1,1,0,1,0,0,0,0,0,0,0,0
"508","2427",7,6,0.3304,5,1,0,0,0,0,0,0,0,0
"509","2428",238,36,0.9624,9,5,3,3,3,0,2,3,2,0
"510","2430",57,22,0.8452,9,5,1,3,2,1,1,0,0,0
"511","2431",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"512","2432",44,17,0.8697,6,6,1,2,0,0,1,1,0,0
"513","2434",49,25,0.7821,11,8,2,4,0,0,0,0,0,0
"514","2438",1,1,1,1,0,0,0,0,0,0,0,0,0
"515","2439",143,36,0.9307,10,6,4,6,3,1,1,0,1,1
"516","2440",13,9,0.4741,7,1,0,1,0,0,0,0,0,0
"517","2441",13,10,0.4974,7,3,0,0,0,0,0,0,0,0
