"","id","lat","lon"
"1",4987805105,43.732505,-79.37697
"2",4954412460,43.843383,-79.192878
"3",4946299209,43.771708,-79.458162
"4",4946266138,43.763697,-79.443987
"5",4946168561,43.682716,-79.41229
"6",4945989952,43.811859,-79.150351
"7",4945786017,43.776753,-79.369094
"8",4945589229,43.770817,-79.361764
"9",4936932450,43.732323,-79.359244
"10",4936363803,43.713689,-79.319463
"11",4936164454,43.821608,-79.588905
"12",4936108532,43.735289,-79.357693
"13",4926058784,43.733506,-79.539041
"14",4923685676,43.728238,-79.519244
"15",4921945054,43.729248,-79.211546
"16",4921721790,43.590181,-79.548164
"17",4921469401,43.72859,-79.219709
"18",4919579033,43.723696,-79.371259
"19",4919384940,43.722801,-79.371401
"20",4919369836,43.827444,-79.368705
"21",4919216262,43.778509,-79.358111
"22",4910924183,43.6786,-79.553453
"23",4910718048,43.724409,-79.361068
"24",4909162652,43.724491,-79.605293
"25",4908919696,43.692381,-79.399729
"26",4908748459,43.801844,-79.356686
"27",4908669387,43.842158,-79.617967
"28",4908649797,43.716903,-79.224603
"29",4908373361,43.843781,-79.615051
"30",4908238689,43.726532,-79.609436
"31",4908221652,43.727814,-79.60862
"32",4904083448,43.764222,-79.440225
"33",4902005158,43.818764,-79.496582
"34",4901929053,43.831464,-79.171267
"35",4901838196,43.794174,-79.477977
"36",4901740363,43.768269,-79.200358
"37",4901555452,43.779755,-79.130356
"38",4901208420,43.773313,-79.357633
"39",4901105781,43.667556,-79.499412
"40",4901060800,43.783376,-79.147498
"41",4900959665,43.676971,-79.326653
"42",4892216956,43.793096,-79.187172
"43",4892208987,43.687433,-79.386848
"44",4892094008,43.779342,-79.162662
"45",4892085310,43.824353,-79.168981
"46",4892024318,43.687388,-79.313737
"47",4891982170,43.683112,-79.293436
"48",4891978252,43.674343,-79.358231
"49",4891854665,43.70107,-79.359736
"50",4891839639,43.650004,-79.617308
"51",4891834446,43.699891,-79.334951
"52",4891808053,43.816772,-79.166901
"53",4891745276,43.815113,-79.164719
"54",4891738087,43.636921,-79.478958
"55",4891713578,43.683454,-79.292734
"56",4891650434,43.634964,-79.48243
"57",4875591914,43.700704,-79.43711
"58",4875366849,43.788926,-79.375596
"59",4875337056,43.664087,-79.457525
"60",4875317873,43.775133,-79.223851
"61",4875192965,43.686212,-79.358745
"62",4875004762,43.685875,-79.386321
"63",4872614700,43.790129,-79.592817
"64",4872537846,43.77524,-79.357356
"65",4872519156,43.847389,-79.609362
"66",4872425872,43.802681,-79.37388
"67",4872340246,43.847687,-79.609594
"68",4872265864,43.773314,-79.357666
"69",4872200383,43.802444,-79.374856
"70",4872169914,43.838839,-79.596756
"71",4872159269,43.776673,-79.369059
"72",4872136493,43.797124,-79.381426
"73",4872111794,43.801321,-79.377155
"74",4872106194,43.801038,-79.377505
"75",4872094985,43.777733,-79.369741
"76",4872055759,43.79022,-79.375942
"77",4863830555,43.757479,-79.203592
"78",4855416751,43.638445,-79.322868
"79",4535726219,43.719581,-79.355743
"80",4535641901,43.779339,-79.182779
"81",4442657620,43.710482,-79.246058
"82",4442578728,43.685464,-79.366163
"83",4442392192,43.706293,-79.2814
"84",4431268727,43.704733,-79.456631
"85",4430514755,43.767302,-79.278972
"86",4424609460,43.682126,-79.383515
"87",4424317813,43.686111,-79.385356
"88",4424211960,43.689053,-79.367347
"89",4413941443,43.817979,-79.45519
"90",4413608194,43.836906,-79.303565
"91",4413412269,43.79898,-79.380745
"92",4405114923,43.730101,-79.326357
"93",4405088779,43.698162,-79.303392
"94",4400318010,43.775315,-79.519574
"95",4400178146,43.686471,-79.368726
"96",4400111191,43.686347,-79.368654
"97",4399972422,43.686346,-79.368571
"98",4177397333,43.776028,-79.517845
"99",4172322709,43.678557,-79.553515
"100",4172205424,43.700687,-79.313103
"101",4172141403,43.666086,-79.342067
"102",4172112533,43.628621,-79.475169
"103",4172048783,43.632501,-79.470735
"104",4171724769,43.6474,-79.615044
"105",4171681059,43.778349,-79.334532
"106",4171303659,43.648267,-79.324091
"107",4171272209,43.650361,-79.462239
"108",4171245119,43.648606,-79.467653
"109",4171155672,43.63721,-79.476467
"110",4171147960,43.650712,-79.49285
"111",4162174129,43.662527,-79.451838
"112",4162061695,43.647837,-79.465822
"113",4153893342,43.727626,-79.214989
"114",4145389792,43.645347,-79.463203
"115",4138722927,43.825953,-79.138257
"116",4138632394,43.822235,-79.590615
"117",4138173081,43.712463,-79.227089
"118",4138094516,43.659456,-79.306533
"119",4137750981,43.798409,-79.478613
"120",4137748352,43.717267,-79.224631
"121",4137636275,43.647699,-79.522622
"122",4127063628,43.697426,-79.299876
"123",4112101377,43.759497,-79.157355
"124",4062876599,43.649325,-79.622008
"125",3986246965,43.742591,-79.516667
"126",3947811794,43.827251,-79.26744
"127",3947310471,43.647689,-79.459602
"128",3947078682,43.8275,-79.308753
"129",3923358971,43.827414,-79.267351
"130",3915688302,43.771453,-79.363072
"131",3915351794,43.771393,-79.362924
"132",3912477639,43.830507,-79.267655
"133",3912475444,43.828728,-79.266892
"134",3912467460,43.827167,-79.267385
"135",3912392241,43.827081,-79.267332
"136",3912384520,43.83049,-79.26761
"137",3912355058,43.827145,-79.267459
"138",3912352291,43.826925,-79.266824
"139",3912299811,43.778946,-79.380176
"140",3912279875,43.827028,-79.266698
"141",3912158937,43.827239,-79.267657
"142",3912004296,43.826925,-79.266779
"143",3903566204,43.681578,-79.390731
"144",3903484173,43.784263,-79.187745
"145",3902815218,43.6744,-79.512512
"146",3902663029,43.772103,-79.601142
"147",3902132261,43.616527,-79.373058
"148",3892302347,43.723767,-79.363983
"149",3889040839,43.634972,-79.482399
"150",3881701495,43.725476,-79.609545
"151",3881694149,43.678636,-79.551764
"152",3873843614,43.817455,-79.309813
"153",3860733981,43.82704,-79.272983
"154",3860460686,43.821274,-79.167645
"155",3860097225,43.687283,-79.36544
"156",3860019408,43.720895,-79.293468
"157",3859312807,43.811603,-79.173325
"158",3802725220,43.829844,-79.267116
"159",3802634925,43.830275,-79.267077
"160",3802305606,43.692335,-79.399819
"161",3784735700,43.766323,-79.461799
"162",3773177838,43.642877,-79.459813
"163",3760151923,43.769314,-79.359461
"164",3759405939,43.768879,-79.359738
"165",3499460482,43.818319,-79.309922
"166",3465923134,43.817615,-79.169131
"167",3455186450,43.821289,-79.16847
"168",3384825226,43.813644,-79.140106
"169",3384471331,43.832675,-79.16005
"170",3384243105,43.647908,-79.464241
"171",3344104573,43.772077,-79.137418
"172",3338053813,43.826305,-79.312753
"173",3337712794,43.808815,-79.369606
"174",3335453052,43.742456,-79.317893
"175",3335394580,43.800792,-79.379045
"176",3335394228,43.674908,-79.295029
"177",3335161928,43.6992,-79.307498
"178",3335159164,43.67867,-79.370932
"179",3335126044,43.74136,-79.320764
"180",3333550510,43.816966,-79.584877
"181",3333125964,43.778127,-79.371989
"182",3333085881,43.749553,-79.274217
"183",3330884602,43.685238,-79.300445
"184",3330638141,43.791434,-79.146539
"185",3327995894,43.700062,-79.353067
"186",3327966924,43.700133,-79.352255
"187",3327946544,43.675552,-79.510619
"188",3327768240,43.81229,-79.150764
"189",3327736895,43.694653,-79.360917
"190",3327720897,43.694513,-79.362358
"191",3327709903,43.700038,-79.352797
"192",3327704929,43.697772,-79.356362
"193",3321313471,43.830567,-79.411645
"194",3314156906,43.747592,-79.47335
"195",3307205692,43.644213,-79.320983
"196",3302305853,43.673882,-79.294518
"197",3302195689,43.811708,-79.159424
"198",3302058387,43.699507,-79.312993
"199",3302033755,43.801413,-79.377935
"200",3301842194,43.713208,-79.40542
"201",3124895976,43.678986,-79.293106
"202",3124879218,43.701163,-79.391785
"203",3124691992,43.829883,-79.388497
"204",3124691130,43.78548,-79.457612
"205",3124644483,43.716865,-79.503499
"206",3124539726,43.814952,-79.158069
"207",3124537975,43.846293,-79.192884
"208",3118206656,43.737828,-79.21021
"209",3117848873,43.801075,-79.378548
"210",3112803283,43.828554,-79.300005
"211",3090855860,43.708753,-79.240075
"212",3090854714,43.836778,-79.305855
"213",3090827731,43.83662,-79.305847
"214",3090796526,43.811858,-79.305983
"215",3090774676,43.823722,-79.307922
"216",3090747788,43.767363,-79.379792
"217",3090739432,43.826213,-79.312713
"218",3090717711,43.826233,-79.312758
"219",3090633726,43.836578,-79.305825
"220",3090629739,43.769803,-79.38118
"221",3090605742,43.82617,-79.312653
"222",3090603862,43.704228,-79.24083
"223",3090585427,43.853742,-79.203163
"224",3090584879,43.827575,-79.308662
"225",3090537850,43.708522,-79.240913
"226",3090523813,43.83668,-79.305008
"227",3068102496,43.854122,-79.20912
"228",3032065419,43.610308,-79.568358
"229",3031958508,43.812388,-79.150864
"230",3031847717,43.831408,-79.41607
"231",3031832746,43.791217,-79.349442
"232",3031815761,43.83427,-79.397737
"233",3031811722,43.831487,-79.416138
"234",3008568401,43.674566,-79.314928
"235",3008503445,43.784012,-79.217493
"236",3008415393,43.794012,-79.478142
"237",3008393338,43.720481,-79.486471
"238",3005087447,43.725537,-79.609992
"239",2999166172,43.646997,-79.465585
"240",2988610532,43.691739,-79.397401
"241",2988574632,43.629112,-79.47505
"242",2988497379,43.648925,-79.622064
"243",2988468612,43.633725,-79.468601
"244",2988364338,43.701511,-79.327657
"245",2984526649,43.697187,-79.362542
"246",2984396668,43.642642,-79.4657
"247",2898326748,43.659079,-79.452468
"248",2868385968,43.707703,-79.322563
"249",2868175874,43.643423,-79.321302
"250",2864778675,43.786377,-79.125362
"251",2860227543,43.660595,-79.355422
"252",2860124844,43.792305,-79.376397
"253",2859985953,43.753404,-79.330708
"254",2859946639,43.70779,-79.36748
"255",2856712522,43.645853,-79.468039
"256",2856538613,43.825417,-79.21537
"257",2856492854,43.642466,-79.463405
"258",2851257673,43.64518,-79.458476
"259",2850972137,43.69505,-79.356541
"260",2850776377,43.723609,-79.22768
"261",2826308835,43.76979,-79.140481
"262",2823374746,43.814671,-79.148162
"263",2818868362,43.800211,-79.130543
"264",2818849324,43.775397,-79.46302
"265",2818759340,43.755591,-79.275908
"266",2818758340,43.580761,-79.579491
"267",2818737343,43.731004,-79.620674
"268",2818701347,43.752661,-79.427693
"269",2818655358,43.705693,-79.382126
"270",2818554345,43.663812,-79.507053
"271",2818547345,43.703693,-79.322068
"272",2818530361,43.749854,-79.346699
"273",2818509362,43.783293,-79.188278
"274",2814251914,43.744316,-79.408194
"275",2814182573,43.854778,-79.450092
"276",2814113572,43.645538,-79.465045
"277",2814099174,43.813895,-79.154554
"278",2814091823,43.812847,-79.484353
"279",2814046790,43.6399,-79.455742
"280",2813994948,43.818635,-79.152877
"281",2813924595,43.719806,-79.579932
"282",2803138309,43.683445,-79.338647
"283",2803110403,43.74479,-79.407341
"284",2803071784,43.653324,-79.462876
"285",2802940010,43.854145,-79.349937
"286",2802920294,43.823077,-79.169567
"287",2802876552,43.682755,-79.365997
"288",2802753339,43.687483,-79.36487
"289",2802718203,43.677411,-79.366184
"290",2802709696,43.761863,-79.29863
"291",2802660349,43.831925,-79.393508
"292",2802657082,43.795955,-79.476058
"293",2802536899,43.79395,-79.478088
"294",2641416273,43.819697,-79.170583
"295",2634286435,43.695571,-79.364752
"296",2634111945,43.748172,-79.486305
"297",2634095126,43.735398,-79.573371
"298",2597713743,43.687842,-79.326858
"299",2596244942,43.840202,-79.54571
"300",2595992005,43.742086,-79.483858
"301",2574274012,43.701147,-79.328714
"302",2574129565,43.785948,-79.466982
"303",2543092193,43.675605,-79.510806
"304",2529387146,43.785401,-79.188857
"305",2518149884,43.68905,-79.315155
"306",2518041293,43.690221,-79.327388
"307",2465118784,43.686963,-79.367281
"308",2445044345,43.701655,-79.332666
"309",2429591673,43.67833,-79.508467
"310",2429423146,43.77593,-79.134138
"311",2429415052,43.823327,-79.18334
"312",2423069700,43.74488,-79.339539
"313",2422876033,43.707703,-79.624131
"314",2422875956,43.7112,-79.63095
"315",2422875351,43.630836,-79.634675
"316",2422875284,43.631236,-79.635331
"317",2422875282,43.631247,-79.635383
"318",2350449576,43.711297,-79.630303
"319",2350449417,43.718553,-79.632636
"320",2350449282,43.707844,-79.624497
"321",2350448153,43.714611,-79.632819
"322",2350431571,43.6475,-79.611106
"323",2350421100,43.647945,-79.458367
"324",2350413856,43.738381,-79.329116
"325",2331956573,43.69349,-79.36108
"326",2294667060,43.683422,-79.323072
"327",2294652950,43.648406,-79.467495
"328",2294647916,43.645051,-79.460065
"329",2294545832,43.712741,-79.319752
"330",2273232304,43.8186,-79.171945
"331",2269323492,43.765702,-79.377841
"332",2269296714,43.763044,-79.349898
"333",2269262667,43.803463,-79.30687
"334",2265830390,43.841394,-79.613421
"335",2251998433,43.688404,-79.325872
"336",1948774699,43.836533,-79.420058
"337",1913155151,43.80705,-79.151465
"338",1883927468,43.822079,-79.177623
"339",1883472676,43.723459,-79.608188
"340",1880637054,43.723961,-79.365607
"341",1850919301,43.814286,-79.271439
"342",1848762985,43.7791,-79.478435
"343",1806337460,43.64134,-79.463622
"344",1572374218,43.81918,-79.171227
"345",1571180745,43.818471,-79.170124
"346",1291156609,43.643752,-79.467608
"347",1227716954,43.731765,-79.324768
"348",1098909250,43.738978,-79.329522
"349",4258622,43.7697,-79.4266
"350",7807624,43.69815,-79.29133
"351",7807626,43.70378,-79.33364
"352",7807664,43.7053,-79.3334
"353",8502359,43.7698,-79.38123
"354",8551561,43.81907,-79.28782
"355",8777263,43.82202,-79.30103
"356",8812101,43.82863,-79.27093
"357",8532875,43.70277,-79.28224
"358",8688453,43.71021,-79.24079
"359",8253329,43.80319,-79.37986
"360",8169330,43.77023,-79.19113
"361",8174725,43.66081,-79.44163
"362",8254284,43.70742,-79.23328
"363",8270860,43.70235,-79.42577
"364",8270868,43.70422,-79.43743
"365",8497199,43.81223,-79.25617
"366",8501392,43.80881,-79.27475
"367",8498652,43.73144,-79.3351
"368",8500233,43.69357,-79.27357
"369",8524060,43.79619,-79.36525
"370",10500778,43.79531,-79.36874
"371",10500840,43.79564,-79.36739
"372",10500841,43.79558,-79.36735
"373",8286233,43.68712,-79.36517
"374",8525972,43.66983,-79.41923
"375",8540221,43.76751,-79.35939
"376",8540222,43.76532,-79.35677
"377",8540223,43.76572,-79.35899
"378",8540224,43.76532,-79.35808
"379",8540226,43.76751,-79.35934
"380",9316259,43.76129,-79.34911
"381",8551655,43.77088,-79.36666
"382",8551656,43.77368,-79.35268
"383",8559876,43.75345,-79.41909
"384",8796469,43.68763,-79.36456
"385",10602402,43.79467,-79.36376
"386",9509559,43.64893,-79.44232
"387",9480207,43.74717,-79.4976
"388",9447771,43.81228,-79.15383
"389",9447773,43.81357,-79.15621
"390",8169967,43.73023,-79.32622
"391",9316262,43.77794,-79.36508
"392",9316263,43.77309,-79.36483
"393",9546960,43.67632,-79.29111
"394",9499568,43.6982,-79.25568
"395",8657138,43.7767,-79.36902
"396",9523135,43.68707,-79.2717
"397",9483747,43.73085,-79.35784
"398",9513297,43.68707,-79.27175
"399",9464579,43.69834,-79.26088
"400",4776924,43.73347,-79.36093
"401",4909525,43.72731,-79.62479
"402",4912164,43.84328,-79.19002
"403",4998592,43.66327,-79.48287
"404",4733934,43.68954,-79.31705
"405",3173996,43.7253,-79.6107
"406",3943089,43.82531,-79.18503
"407",7625673,43.69796,-79.30215
"408",7625674,43.69666,-79.30327
"409",7656666,43.69839,-79.29115
"410",7623639,43.8032,-79.37993
"411",10489229,43.64745,-79.4919
"412",10662891,43.64785,-79.36463
"413",11460969,43.71652,-79.52897
"414",11460970,43.71879,-79.51886
"415",12051815,43.7431,-79.54391
"416",11303022,43.73354,-79.36391
"417",12110319,43.68431,-79.35773
"418",12108595,43.63181,-79.40097
"419",11426811,43.80149,-79.3556
"420",11388312,43.70785,-79.43776
"421",9446676,43.67127,-79.48124
"422",11376771,43.70125,-79.2561
"423",12049358,43.64873,-79.32738
"424",12038984,43.77306,-79.27899
"425",12260371,43.74507,-79.56748
"426",10698428,43.70539,-79.33333
