"","id","lon","lat"
"1",4987805105,630708.98816695,4843443.43176212
"2",4954412460,645265.987797637,4856065.10041839
"3",4946299209,624089.156377013,4847672.62996706
"4",4946266138,625246.71020711,4846804.2282412
"5",4946168561,627970.404692552,4837858.55163042
"6",4945989952,648762.880709237,4852639.42035066
"7",4945786017,631246.513130633,4848370.29205134
"8",4945589229,631849.443775799,4847722.65392007
"9",4936932450,632136.950704088,4843451.33337815
"10",4936363803,635382.690873549,4841445.96508066
"11",4936164454,613472.201560961,4853027.16476336
"12",4936108532,632255.331435246,4843783.22585346
"13",4926058784,617654.676194779,4843311.71321122
"14",4923685676,619259.449270519,4842754.92688159
"15",4921945054,644039.230432657,4843355.9548575
"16",4921721790,617198.506545635,4827380.70636314
"17",4921469401,643383.355874935,4843268.71618937
"18",4919579033,631188.152979563,4842474.0889881
"19",4919384940,631178.668762833,4842374.46150846
"20",4919369836,631166.83627459,4854000.94984602
"21",4919216262,632126.508579282,4848582.79259623
"22",4910924183,616600.431770117,4837193.28612848
"23",4910718048,632007.438845452,4842569.46106469
"24",4909162652,612336.038514442,4842218.53427577
"25",4908919696,628962.12750908,4838951.441394
"26",4908748459,632189.728385023,4851176.78604977
"27",4908669387,611097.04715327,4855270.11814756
"28",4908649797,643016.999287814,4841962.24422352
"29",4908373361,611328.437855029,4855454.29983755
"30",4908238689,611998.536000817,4842439.60849578
"31",4908221652,612061.86820411,4842583.09561417
"32",4904083448,625548.42649177,4846868.23388832
"33",4902005158,620902.100757881,4852842.06732186
"34",4901929053,647032.493106005,4854779.4868656
"35",4901838196,622448.528252638,4850138.31841408
"36",4901740363,644846.145850595,4847709.3465929
"37",4901555452,650451.611154191,4849109.89294383
"38",4901208420,632176.422549229,4848006.45950217
"39",4901105781,620978.698126045,4836044.0916561
"40",4901060800,649063.16053859,4849481.05080044
"41",4900959665,634885.764081523,4837356.19518134
"42",4892216956,645847.066251744,4850489.93309023
"43",4892208987,630010.880735449,4838422.01149268
"44",4892094008,647852.902292284,4849005.81452467
"45",4892085310,647233.777490228,4853993.75716667
"46",4892024318,635903.392234597,4838534.23381509
"47",4891982170,637549.335376992,4838092.79521292
"48",4891978252,632346.056765267,4837013.4501313
"49",4891854665,632166.02054648,4839979.4537629
"50",4891839639,611506.211583322,4833929.55176189
"51",4891834446,634165.754330301,4839888.31932697
"52",4891808053,647419.693157933,4853155.46490083
"53",4891745276,647599.262115257,4852975.09604996
"54",4891738087,622690.099638841,4832671.70997903
"55",4891713578,637605.135537453,4838131.94366407
"56",4891650434,622414.011967013,4832449.23441256
"57",4875591914,625932.219895962,4839818.36792771
"58",4875366849,630696.73175181,4849712.00592862
"59",4875337056,624362.866131256,4835720.74880907
"60",4875317873,642938.904937294,4848430.8723718
"61",4875192965,632278.53575874,4838330.84557576
"62",4875004762,630056.721510816,4838249.80048186
"63",4872614700,613217.068996698,4849525.57688068
"64",4872537846,632194.469432637,4848220.92480471
"65",4872519156,611779.010276876,4855862.70087359
"66",4872425872,630804.783903057,4851242.42646553
"67",4872340246,611759.805530712,4855895.48501843
"68",4872265864,632173.764499489,4848006.51788697
"69",4872200383,630726.790664784,4851214.56158299
"70",4872169914,612808.397933538,4854930.20286658
"71",4872159269,631249.504806154,4848361.46230128
"72",4872136493,630209.849044839,4850613.33367533
"73",4872111794,630544.302585395,4851086.20541488
"74",4872106194,630516.763926672,4851054.22172048
"75",4872094985,631192.302189952,4848478.11072524
"76",4872055759,630666.073031031,4849855.17861389
"77",4863830555,644611.847373636,4846505.2962766
"78",4855416751,635277.360273846,4833083.52809963
"79",4535726219,632446.983974515,4842041.73788781
"80",4535641901,646234.045200776,4848969.74799507
"81",4442657620,641303.758953114,4841212.29855162
"82",4442578728,631682.303865644,4838235.9641836
"83",4442392192,638466.088323651,4840687.40769533
"84",4431268727,624350.937817908,4840236.37860025
"85",4430514755,638520.958029909,4847467.4278027
"86",4424609460,630290.993632738,4837837.82696039
"87",4424317813,630133.987690388,4838277.52537191
"88",4424211960,631579.028199857,4838632.69291808
"89",4413941443,624232.431076949,4852816.20262487
"90",4413608194,636383.028533664,4855157.22183485
"91",4413412269,630260.601085587,4850820.54343299
"92",4405114923,634790.497365059,4843257.51932438
"93",4405088779,636712.668951176,4839747.84458058
"94",4400318010,619139.425038676,4847983.0416275
"95",4400178146,631473.531219988,4838343.73889661
"96",4400111191,631479.605093037,4838330.08113403
"97",4399972422,631486.296813538,4838330.10166671
"98",4177397333,619277.152640523,4848064.72035925
"99",4172322709,616595.51742776,4837188.4232553
"100",4172205424,635924.439992622,4840012.3145089
"101",4172141403,633667.4127763,4836122.31574419
"102",4172112533,623012.663419952,4831755.49803258
"103",4172048783,623362.433531646,4832193.0003121
"104",4171724769,611693.618167611,4833643.38935843
"105",4171681059,634024.344803207,4848602.9232819
"106",4171303659,635156.683704628,4834172.39792792
"107",4171272209,624011.044971959,4834189.24196224
"108",4171245119,623578.032863002,4833986.25031659
"109",4171155672,622890.441579439,4832707.49199683
"110",4171147960,621541.718524745,4834182.93643124
"111",4162174129,624824.621915661,4835556.03069867
"112",4162061695,623727.276728039,4833903.57113579
"113",4153893342,643765.813350231,4843169.82801964
"114",4145389792,623943.615322009,4833630.93257182
"115",4138722927,649700.356945637,4854226.61310182
"116",4138632394,613333.505591671,4853094.45899081
"117",4138173081,642827.285063039,4841464.83002739
"118",4138094516,636547.338192774,4835443.8327909
"119",4137750981,622388.714707934,4850607.74023343
"120",4137748352,643013.877705798,4842002.62347479
"121",4137636275,619146.733760984,4833805.13094539
"122",4127063628,636997.668324128,4839671.90507205
"123",4112101377,648329.021601463,4846811.20495534
"124",4062876599,611128.431991591,4833847.83608407
"125",3986246965,619438.464379293,4844352.74520577
