predictor,train,test,1,2,3,4,5,6,7,8,9,10
dsv_deadspots,0.07794,0.08974,0.0833199999999999,0.08582,0.0554399999999999,0.13118,0.0958599999999999,0.1103,0.09358,0.08968,0.05998,0.07478
landcover,0.00417999999999996,0.00234000000000001,0.00912000000000002,0.00574000000000008,-0.00444,0.00160000000000005,0.00641999999999998,0.00249999999999995,0.00463999999999998,0.01278,0.00593999999999995,0.00343999999999989
ndvi,0.0942,0.07652,0.1293,0.09582,0.09012,0.11534,0.0914200000000001,0.11902,0.10158,0.08266,0.022,0.07304
slope,0.00925999999999993,0.00862000000000007,-0.00931999999999999,0.01266,0.000639999999999974,0.000520000000000076,-0.00450000000000006,0.0353399999999999,-0.00736000000000003,0.01308,0.028,0.00591999999999993
soil_clay,0.02042,0.00902000000000003,0.01822,0.01464,0.04132,0.0250400000000001,0.0295,0.0146999999999999,-0.00520000000000009,0.02196,0.03852,0.02906
soil_ph,0.00345999999999991,-0.000439999999999996,-0.00151999999999997,0.00529999999999997,-0.00870000000000004,0.00146000000000002,0.00324000000000002,0.00105999999999995,0.00131999999999999,-0.02066,-0.00253999999999999,0.000179999999999958
soil_sand,0.000879999999999992,-0.00283999999999995,-0.00004000000000004,0.00663999999999998,-0.00804000000000005,-0.00383999999999995,-0.00282000000000004,-0.00285999999999997,0.00631999999999999,0.00213999999999992,0.00481999999999994,-0.000200000000000089
soil_water,0.000239999999999907,0.00374000000000008,-0.00315999999999994,0.00109999999999999,0.00439999999999996,-0.00578000000000001,-0.00384000000000007,0.000859999999999972,0.00141999999999998,-0.00326000000000004,-0.00231999999999999,0.00435999999999992
wind_speed,0.0134,0.01736,0.00990000000000002,0.00497999999999998,0.00459999999999994,0.00242000000000009,0.01956,-0.00144,-0.00008000000000008,0.01432,0.00522,0.00725999999999993
