predictor,train,test,1,2,3,4,5,6,7,8,9,10
dsv_deadspots,0.02246,0.00688,0.01828,0,0.00248000000000004,0,0,0,0.0146200000000001,0,-0.01154,0.00941999999999998
landcover,0.00541999999999998,0.0301999999999999,0.00561999999999996,0.00417999999999996,0.00807999999999998,0.00629999999999997,0,0.0472399999999999,0.0138600000000001,0.000179999999999958,-0.00378000000000001,0.00722
ndvi,0.02952,0.0154,0.0587,0.15496,0.02574,0.10326,0.08722,0.03318,0.0899800000000001,0.05228,0.02546,0.06574
slope,0.00962000000000007,0.00421999999999989,0.0482199999999999,0.01346,0.08024,0.02216,-0.0163000000000001,0.02816,0.0095400000000001,0.06928,-0.06796,0.01754
soil_clay,0.00616000000000005,-0.00538000000000005,0.00381999999999993,0.02784,-0.00948000000000004,-0.00626000000000004,0.01674,-0.04588,0.01858,-0.04068,-0.0534,0.04776
soil_ph,0.0136200000000001,-0.0155400000000001,0.05608,-0.00117999999999996,0.00695999999999997,0.01662,0.0311399999999999,0.01294,-0.005,0.0204799999999999,-0.02208,0.000780000000000003
soil_sand,-0.00299999999999989,0.0035599999999999,0.03774,0.018,3.9999999999929e-05,0.00938000000000005,0.00414000000000003,0.02012,-0.01072,0.00891999999999993,-0.0787600000000001,0.00291999999999992
soil_water,0.00714000000000004,-0.0220800000000001,-8.000000000008e-05,0.02666,0.02982,0.01896,0.01754,0,-0.00381999999999993,-0.00544,-0.01732,0.01528
wind_speed,0.04798,0.0599,0.0582199999999999,-0.00939999999999996,0.01386,0.03152,0.0171,0.0484,0.00516000000000005,0.0879799999999999,-0.00934000000000001,0.06268
