predictor,train,test,1,2,3,4,5,6,7,8,9,10
dsv_deadspots,0.0777800000000001,0.07952,0.10146,0.12196,0.06026,0.0845199999999999,0.06638,0.0651400000000001,0.07656,0.04236,0.0614600000000001,0.07158
landcover,0,0,0,-0.00693999999999995,0,0,0,0,-0.01394,0,0,0
ndvi,0.13838,0.11384,0.17544,0.0946800000000001,0.12304,0.14818,0.11886,0.1627,0.09226,0.12218,0.01866,0.12744
slope,0,0,0,0,0,0.00678000000000001,0,0,0,0,0,0
soil_clay,0,0,0,0,0,0,0,0,0,0.01894,0,0
soil_ph,0,0,0,0,0,0,0,0,0,0,0,0
soil_sand,0,0,0,0,0,0,0,0,0,0,0,0
soil_water,0,0,0,0,0,0,0,0,0,0,0,0
wind_speed,0.0141,0.0181,0.0145999999999999,0.00670000000000004,0.01,-0.00358000000000003,0.01818,-0.001,-0.01552,0,0.022,0.01766
