predictor,train,test,1,2,3,4,5,6,7,8,9,10
dsv_deadspots,0.07514,0.08464,0.10528,0.07414,0.09,0.07056,0.0861,0.1066,0.0660799999999999,0.0825199999999999,0.06408,0.000319999999999987
landcover,0.00861999999999996,0.000219999999999998,0.01088,0.0137999999999999,0.00519999999999998,0.000800000000000023,-0.00475999999999999,0.00382000000000005,0.00647999999999993,-0.00170000000000003,0.00146000000000002,0.00119999999999998
ndvi,0.0846,0.10814,0.0981,0.10974,0.09022,0.05272,0.1198,0.12596,0.08588,0.1212,0.13258,0.07716
slope,0.00693999999999995,0.0112800000000001,0.0101599999999999,0.00313999999999992,-0.00746000000000002,0.00893999999999995,0.00634000000000001,-0.00588,0.00381999999999993,0.0124599999999999,-0.00566,0.00918000000000008
soil_clay,0.01186,0.0121,0.02318,0.00763999999999998,0.00246000000000002,0.00185999999999997,-0.00312000000000001,0.0117,0.0205399999999999,0.0123599999999999,0.00918000000000008,0.00675999999999999
soil_ph,-0.00400000000000011,-0.000639999999999974,0.00103999999999993,-0.0341,0.000340000000000007,-0.00262000000000007,0.000920000000000032,0.000140000000000029,0.00285999999999997,-0.00126000000000004,0.00260000000000005,-0.00180000000000002
soil_sand,-0.00128000000000006,0.000539999999999985,0.00134000000000001,-0.00538000000000005,-0.00334000000000001,-0.00382000000000005,0.00493999999999994,0.01278,0.000139999999999918,-0.00316000000000005,0.00168000000000001,-0.00105999999999995
soil_water,0.000039999999999929,0.00706000000000007,-0.00734000000000001,-0.0200600000000001,-0.000619999999999954,-0.00714000000000004,0.00331999999999999,0.00366,-0.00114000000000003,-0.00240000000000007,0.00274000000000008,0.00183999999999995
wind_speed,0.0170199999999999,0.0118,0.00688,0.01298,0.01886,0.01408,0.01908,-0.000499999999999945,0.02286,0.0205799999999999,0.0118,0.01126
