predictor,train,test,1,2,3,4,5,6,7,8,9,10
dsv_deadspots,0.02964,0.0273599999999999,0,0,0,-0.00329999999999997,0,-0.01692,-0.00368000000000002,0.00302000000000002,0.00614000000000003,0
landcover,0,0,0.01572,0.00344,0.0222,0,-0.000520000000000076,0.0272199999999999,0.0417999999999999,0.000439999999999996,0.05382,0
ndvi,0.12926,0.10498,0.1362,0.0547800000000001,0.03794,0.04564,0.11732,-0.03234,0.00151999999999997,0.03266,0.05498,0.0329200000000001
slope,0.02522,0.0362,0.03418,0.01156,-0.00383999999999995,0.0247000000000001,-0.00214000000000003,-0.00826000000000005,-0.0133,0.01564,0.03366,0.01548
soil_clay,-0.00602000000000003,0.01346,-0.00506000000000006,0.05458,0.00978000000000001,-0.036,-0.00124000000000002,-0.00600000000000012,0.11962,0.06624,0.00758000000000003,-0.00553999999999999
soil_ph,0,0,-0.0432600000000001,0.000539999999999985,-0.04316,-2.000000000002e-05,-0.00838000000000005,0.0538599999999999,-0.00431999999999999,-0.000940000000000052,0,-0.00631999999999999
soil_sand,0.0106999999999999,0.00326000000000004,-0.06672,-0.03584,0.01376,0.03154,-0.00178,-0.00842000000000009,0.00331999999999999,-0.00688,-0.0071,-9.9999999999989e-05
soil_water,0.01364,0.02002,0.00857999999999992,-0.0200399999999999,-0.000739999999999963,-3.9999999999929e-05,-0.00628000000000006,-0.031,0.00905999999999996,-0.01674,0.0481,-0.00801999999999992
wind_speed,0.0706,0.04782,0.03148,0.0278200000000001,0.10558,0.02988,0.0561999999999999,0.0123799999999999,-0.00285999999999997,0.00503999999999993,-0.0277999999999999,0.000640000000000085
