predictor,train,test,1,2,3,4,5,6,7,8,9,10
dsv_deadspots,0,0,-0.000299999999999967,-0.00928000000000007,0.01542,0,0,0.01122,-0.000939999999999941,0,0,0
landcover,0.04808,0.00417999999999996,-0.01072,0.0662999999999999,-0.01978,0,0,-0.0151,-0.00688,0,-0.00778000000000001,0.02866
ndvi,0.02188,0.00573999999999997,0.03176,0.10962,0.16066,0.03416,0.0301999999999999,0.02628,0.0485800000000001,0.05414,0.000500000000000056,0.05874
slope,0.03404,-0.000960000000000072,0.04116,0.0157999999999999,0.00302000000000002,-0.00490000000000002,0.0212,-0.0183,-0.00557999999999992,0.00634000000000001,0.01976,0.02922
soil_clay,0.00549999999999995,-0.00509999999999999,-0.00751999999999997,-0.0260400000000001,0.0160399999999999,-0.00527999999999995,0.0525,-0.00590000000000002,0.03302,0.03454,0.01878,0.02844
soil_ph,0.00905999999999996,-0.00531999999999999,0.0223,0.02578,0.00239999999999996,-0.01108,-0.00829999999999997,-0.0413600000000001,-0.000299999999999967,0.02038,0.00356000000000001,0.02372
soil_sand,0.0256,-0.02102,-0.03406,-0.00985999999999998,-0.02542,0.00563999999999998,-0.00290000000000001,0.01686,0.00272000000000006,0.00363999999999998,0.04112,-0.01122
soil_water,0.0093399999999999,0.01418,0.02782,-0.00495999999999996,0.003,0.00184000000000006,0.00435999999999992,0.000159999999999938,-0.0123799999999999,0.00134000000000001,-0.07304,-0.0312
wind_speed,0.0298799999999999,0.0120399999999999,-0.02818,0.01178,0.0487,0.00656000000000001,-0.00542000000000009,0.03798,0.000439999999999996,0.04758,0.0141800000000001,0.02028
