predictor,train,test,1,2,3,4,5,6,7,8,9,10
dsv_deadspots,0.0805,0.0732,0.10002,0.0712200000000001,0.0767599999999999,0.0274399999999999,0.11742,0.05164,0.0887399999999999,0.08202,0.0566200000000001,0.0841
landcover,0.00841999999999998,0.00151999999999997,0.0108200000000001,0.01366,0.03212,-0.00240000000000007,0.02116,0.00124000000000002,0.00790000000000002,0.01196,0.00750000000000006,0.01064
ndvi,0.0506799999999999,0.08402,0.07644,0.14154,0.04574,-0.0176000000000001,0.09612,0.01822,0.03518,0.05936,0.03632,0.0666
slope,0.00759999999999994,0.00716000000000006,0.00939999999999996,0.01478,0.00360000000000005,-0.000780000000000003,-0.00256000000000001,0.004,0.00348000000000004,0.00968000000000002,0.00448000000000004,-0.00116000000000005
soil_clay,0.0184799999999999,-0.000759999999999983,0.02252,0.03606,-0.0091,0.0153,0.0251,0.0144200000000001,0.02242,0.02438,0.02778,0.0344399999999999
soil_ph,-0.00336000000000003,0.00266,0.00463999999999998,-0.000239999999999907,0.00275999999999998,-0.00270000000000004,-0.00760000000000005,0.00292000000000003,-0.00690000000000002,-0.00663999999999998,-0.000299999999999967,-0.00452000000000008
soil_sand,0.00339999999999996,0.000219999999999998,0.00766,0.00290000000000001,0.00366,0.00397999999999998,0.000939999999999941,0.01202,-0.0140800000000001,-0.00725999999999993,0.0028800000000001,0.00209999999999999
soil_water,0.00217999999999996,-0.00159999999999993,0.00390000000000001,0.00272000000000006,-0.00195999999999996,-0.00788,0.00673999999999997,0.00226000000000004,0.00317999999999996,0.00349999999999995,0.00246000000000002,0.00467999999999991
wind_speed,0.01054,0.01792,0.00259999999999994,0.00275999999999998,0.0158,0.0116799999999999,0.00929999999999997,-0.00112000000000001,0.000719999999999943,0.00885999999999998,0.02136,0.0159199999999999
